begintime,sk_object,duration,integrity,1593835641,1593835642,1593835643,1593835644,1593835645,1593835646,1593835849,1593835850,1593835851,1593835852
2022-03-01,878516.0,86400.0,100.0,,,,,28800.0,10.52611115,,,,
2022-02-10,878515.0,86400.0,100.0,,,,,28800.0,10.493874675,,,,
2022-02-10,878516.0,86400.0,100.0,,,,,28801.0,10.522948183333334,,,,
2022-03-11,878515.0,86400.0,100.0,,,,,28801.0,10.279946254166667,,,,
2022-03-12,878516.0,68400.0,79.16666666666667,,,,,22801.0,10.547972778947369,,,,
2022-03-10,878516.0,82800.0,95.83333333333333,,,,,27600.0,10.53307967826087,,,,
2022-02-03,878516.0,86400.0,100.0,,,,,28801.0,10.50774565,,,,
2022-02-08,878516.0,86400.0,100.0,,,,,28800.0,10.510659779166666,,,,
2022-02-18,878516.0,86400.0,100.0,,,,,28800.0,10.514895879166668,,,,
2022-02-19,878515.0,86400.0,100.0,,,,,28800.0,10.4965400875,,,,
2022-03-02,878516.0,86400.0,100.0,,,,,28800.0,10.5237847875,,,,
2022-03-13,878516.0,75600.0,87.5,,,,,25200.0,10.54408728095238,,,,
2022-03-06,878515.0,79200.0,91.66666666666667,,,,,26401.0,10.478700613636363,,,,
2022-03-06,878516.0,79200.0,91.66666666666667,,,,,26400.0,10.502664527272728,,,,
2022-02-13,878516.0,86400.0,100.0,,,,,28800.0,10.525833229166667,,,,
2022-02-20,878515.0,86400.0,100.0,,,,,28801.0,10.509250025,,,,
2022-03-14,878516.0,86400.0,100.0,,,,,28800.0,10.5192014375,,,,
2022-02-12,878515.0,86400.0,100.0,,,,,28800.0,10.482395879166667,,,,
2022-02-19,878516.0,86400.0,100.0,,,,,28800.0,10.522395841666667,,,,
2022-02-06,878515.0,86400.0,100.0,,,,,28800.0,10.479444495833333,,,,
2022-02-17,878515.0,75600.0,87.5,,,,,25200.0,10.496627052380953,,,,
2022-03-10,878515.0,82800.0,95.83333333333333,,,,,27600.0,10.522971056521738,,,,
2022-03-09,878516.0,3600.0,4.166666666666667,,,,,1200.0,10.56,,,,
2022-03-13,878515.0,75600.0,87.5,,,,,25200.0,10.549008128571428,,,,
2022-02-13,878515.0,86400.0,100.0,,,,,28801.0,10.473360758333333,,,,
2022-03-03,878515.0,86400.0,100.0,,,,,28800.0,10.509826375,,,,
2022-03-09,878515.0,3600.0,4.166666666666667,,,,,1200.0,10.348333,,,,
2022-02-18,878515.0,86400.0,100.0,,,,,28800.0,10.501458325,,,,
2022-02-08,878515.0,86400.0,100.0,,,,,28800.0,10.484988854166666,,,,
2022-02-11,878515.0,86400.0,100.0,,,,,28800.0,10.482222208333333,,,,
2022-02-05,878516.0,86400.0,100.0,,,,,28800.0,10.5217360125,,,,
2022-03-02,878515.0,86400.0,100.0,,,,,28800.0,10.507925116666666,,,,
2022-03-03,878516.0,86400.0,100.0,,,,,28800.0,10.521180608333333,,,,
2022-02-17,878516.0,75600.0,87.5,,,,,25200.0,10.520515761904761,,,,
2022-02-20,878516.0,86400.0,100.0,,,,,28800.0,10.533576195833334,,,,
2022-03-11,878516.0,86400.0,100.0,,,,,28801.0,10.2758078,,,,
2022-03-14,878515.0,86400.0,100.0,,,,,28800.0,10.52298615,,,,
2022-03-12,878515.0,68400.0,79.16666666666667,,,,,22800.0,10.538730278947368,,,,
2022-03-01,878515.0,86400.0,100.0,,,,,28800.0,10.515268141666667,,,,
2022-02-12,878516.0,86400.0,100.0,,,,,28800.0,10.5263888625,,,,
2022-02-04,878515.0,86400.0,100.0,,,,,28800.0,10.491319508333333,,,,
2022-02-05,878515.0,86400.0,100.0,,,,,28800.0,10.488368133333333,,,,
2022-03-07,878515.0,86400.0,100.0,,,,,28800.0,10.50595185,,,,
2022-03-15,878515.0,86400.0,100.0,,,,,28800.0,10.517708291666667,,,,
2022-03-15,878516.0,86400.0,100.0,,,,,28800.0,10.521423654166666,,,,
2022-02-03,878515.0,86400.0,100.0,,,,,28801.0,10.490367345833333,,,,
2022-02-06,878516.0,86400.0,100.0,,,,,28800.0,10.502673629166667,,,,
2022-03-07,878516.0,86400.0,100.0,,,,,28800.0,10.5239928625,,,,
2022-02-11,878516.0,86400.0,100.0,,,,,28800.0,10.5161433375,,,,
2022-02-04,878516.0,86400.0,100.0,,,,,28800.0,10.511143729166667,,,,
